postal_code,place_name,state_code,latitude,longitude
46803,Fort Wayne,IN,41.0695,-85.1074
65803,Springfield,MO,37.2593,-93.2912
38801,Tupelo,MS,34.2538,-88.7209
98901,Yakima,WA,46.6021,-120.5059
44903,Mansfield,OH,40.7623,-82.5254
54301,Green Bay,WI,44.482,-88.0205
60601,Chicago,IL,41.8858,-87.6181
75201,Dallas,TX,32.7904,-96.8044
30303,Atlanta,GA,33.7525,-84.3888
43215,Columbus,OH,39.9671,-83.0044
63101,Saint Louis,MO,38.6346,-90.1913
85003,Phoenix,AZ,33.4511,-112.0774
28202,Charlotte,NC,35.229,-80.8419
19102,Philadelphia,PA,39.9489,-75.1661
84101,Salt Lake City,UT,40.7559,-111.8967
90021,Los Angeles,CA,34.0333,-118.2447
04769,Presque Isle,ME,46.6842,-68.0118
49829,Escanaba,MI,45.7659,-87.089
56649,International Falls,MN,48.601,-93.411
81101,Alamosa,CO,37.4703,-105.8786
89801,Elko,NV,40.9056,-115.5344
59501,Havre,MT,48.5561,-109.688
57701,Rapid City,SD,44.1415,-103.2052
24210,Abingdon,VA,36.6916,-82.02
26505,Morgantown,WV,39.6505,-79.944
71601,Pine Bluff,AR,34.209,-91.9859
L5T,Mississauga (Courtney Park / East Gateway),ON,43.6683,-79.6182
N1H,Guelph Northwest,ON,43.5588,-80.3004
